job_title,company,url,experience,salary,location,skills,Role,,job_id
Software Developer / Support Engineer,Capital Placement Services,https://www.naukri.com/job-listings-software-developer-support-engineer-capital-placement-services-gurgaon-gurugram-0-to-5-years-091122502304,0-5 Yrs,Not disclosed,['Gurgaon/Gurugram'],"['ERP', 'Software design', 'jQuery', 'Coding', 'Agile development', 'IT support', 'IT skills', 'Javascript']",software-developer,,19
Sr . Software Developer - C # ASP . NET,Winsoft Technologies India,https://www.naukri.com/job-listings-sr-software-developer-c-asp-net-winsoft-technologies-india-pvt-ltd-mumbai-pune-4-to-8-years-131022501749,4-8 Yrs,Not disclosed,"['Mumbai', 'Pune']","['SSIS', 'Crystal', 'SSRS', 'JQuery', 'Angular', 'XML', 'ASP Net', 'software development life cycle']",software-developer,,20
Software Developer,Varian Medical Systems India Software Pvt Ltd,https://www.naukri.com/job-listings-software-developer-varian-medical-systems-india-software-pvt-ltd-pune-2-to-3-years-220722500413,2-3 Yrs,Not disclosed,['Pune'],"['analytical', 'Microsoft Azure PaaS', 'OOAD', 'REST', 'OOPS', 'verbal', 'ASP', 'WPF']",software-developer,,21
Senior Software Developer,Compucom Software Ltd,https://www.naukri.com/job-listings-senior-software-developer-compucom-software-ltd-pune-4-to-5-years-171122500004,4-5 Yrs,Not disclosed,['Pune'],['Senior Software Developer '],software-developer,,22
Jr Software Developer,Technonix Infosystem,https://www.naukri.com/job-listings-jr-software-developer-technonix-infosystem-chennai-0-to-2-years-280520500873,0-2 Yrs,Not disclosed,['Chennai'],"['Java', 'OOP', 'Python', 'C++', 'MySQL', 'analytical', 'web application development', 'software development life cycle']",software-developer,,23
SOFTWARE DEVELOPER AND WEB DEVELOPER,Pushkal It Solutions,https://www.naukri.com/job-listings-software-developer-and-web-developer-pushkal-it-solutions-indore-0-to-1-years-190220501321,0-1 Yrs,Not disclosed,['Indore'],"['Core java', 'Java Script', 'design pattern', 'HTML', 'development', 'JQuery', 'Bootstrap', 'object oriented concept']",software-developer,,24
Software Developer ( . Net ),Accord Consultants,https://www.naukri.com/job-listings-software-developer-net-accord-consultants-pune-2-to-7-years-170622500760,2-7 Yrs,Not disclosed,['Pune'],"['Computer science', 'Software design', 'UML', 'OOAD', 'Wordpress', 'Ethernet', 'Agile', 'Winforms']",software-developer,,25
Software Developer - C # ASP . NET,Winsoft Technologies India,https://www.naukri.com/job-listings-software-developer-c-asp-net-winsoft-technologies-india-pvt-ltd-mumbai-pune-1-to-4-years-131022501747,1-4 Yrs,Not disclosed,"['Mumbai', 'Pune']","['SSRS', 'SSIS', 'JQuery', 'XML', 'JavaScript', 'troubleshooting', 'communication', 'JSON']",software-developer,,26
Opportunity with Grupo Antolin_ Embedded software Developer - Pune,Grupo Antolin,https://www.naukri.com/job-listings-opportunity-with-grupo-antolin-embedded-software-developer-pune-grupo-antolin-pune-4-to-9-years-160123002064,4-9 Yrs,Not disclosed,['Pune(Baner)'],"['Embedded C', 'can', 'UDS']",software-developer,,27
Image Processing / Software Developer (GIS),Advanced Risk Analytics,https://www.naukri.com/job-listings-image-processing-software-developer-gis-advanced-risk-analytics-private-limited-pune-3-to-6-years-060818503020,3-6 Yrs,Not disclosed,['Pune'],"['KNN', 'OpenCV', 'Text Search', 'Python', 'verbal communication', 'written', 'QGIS', 'C / C++']",software-developer,,28
